Animal ID,Animal Name,Animal Type,Sex,Years Old,Months Old,Primary Breed,Primary Color,Tag Number,Intake Date,Intake Type,Intake Subtype,Outcome Type,Outcome Subtype,Outcome Date,Intake Day of the Week,Outcome Day of the Week
A045336,Roxie,Dog,Spayed Female,,,Labrador Retriever,Black,981020023590034,12/29/2020,Owner Surrendered,Over the Counter,Adoption,Walk-In,01/03/2021,Tuesday,Sunday
A045813,Davey,Dog,Neutered Male,,,Yorkshire Terrier,Brown,,09/29/2021,Owner Surrendered,OTC APPT,Transfer,Rescue Group,10/12/2021,Wednesday,Tuesday
A047800,Black Panther,Cat,Spayed Female,,,Domestic Shorthair,Tortie,,05/06/2022,Stray,Over the Counter,Euthanized,Vet Clinic,05/06/2022,Friday,Friday
A047854,Kimbo,Dog,Male,,7.0,Alaskan Malamute,Black,0288-18,10/06/2021,Stray,Animal Control,Return to Owner,Outside of Shelter,10/06/2021,Wednesday,Wednesday
A048402,Jazzy,Dog,Neutered Male,5,,Shih Tzu,Black,,09/02/2023,Disposal Request of Deceased Pet,Over the Counter,Disposal of Deceased Pet,,09/02/2023,Saturday,Saturday
A048562,Bean,Cat,Spayed Female,,1.0,Domestic Shorthair,Dilute Calico,981020027107112,11/05/2020,Owner Surrendered,OTC APPT,Transfer,Rescue Group,12/03/2020,Thursday,Thursday
A048907,Lenox,Dog,Neutered Male,,8.0,Pit Bull,Brown Brindle,981020027155454,06/04/2023,Owner Surrendered,OTC APPT,Euthanized,Behavior Severe,06/24/2023,Sunday,Saturday
A048962,Delta,Cat,Neutered Male,2,,Domestic Medium Hair,White,,07/03/2021,Foster,Over the Counter,Return to Owner,Outside of Shelter,07/03/2021,Saturday,Saturday
A048962,Delta,Cat,Neutered Male,2,,Domestic Medium Hair,White,,07/02/2021,Stray,Over the Counter,Foster,FINDER,07/02/2021,Friday,Friday
A049078,Raven,Cat,Spayed Female,,0.85,Domestic Shorthair,Black,981020029050555,11/13/2022,Transfer,Transfer,Euthanized,Illness Severe,01/07/2023,Sunday,Saturday
A049314,Angel,Dog,Spayed Female,2,,Rottweiler,Black,,11/29/2022,Stray,Animal Control,Return to Owner,Outside of Shelter,11/29/2022,Tuesday,Tuesday
A049314,Angel,Dog,Spayed Female,2,,Rottweiler,Black,981020055313296,09/25/2023,Confiscated,Animal Cruelty,Foster,Adoption,10/19/2023,Monday,Thursday
A049314,Angel,Dog,Spayed Female,2,,Rottweiler,Black,981020055313296,11/17/2023,Foster,Over the Counter,Adoption,Walk-In,11/19/2023,Friday,Sunday
A049314,Angel,Dog,Spayed Female,2,,Rottweiler,Black,981020055313296,10/29/2023,Foster,Over the Counter,Foster,Create Space,11/13/2023,Sunday,Monday
A049483,Stormie,Dog,Spayed Female,,2.0,Pit Bull,Blue Brindle,981020027849662,02/27/2022,Owner Surrendered,OTC APPT,Transfer,Private Animal Shelter,03/01/2022,Sunday,Tuesday
A049941,Lazy,Dog,Spayed Female,1,5.0,Chihuahua Long Hair,Tan,981020029357892,12/18/2022,Stray,Animal Control,Return to Owner,Phone Call,12/19/2022,Sunday,Monday
A050060,Bear,Dog,Neutered Male,,6.0,Rottweiler,Black,981020025485375,06/06/2021,Stray,Over the Counter,Foster,Adoption,06/12/2021,Sunday,Saturday
A050060,Bear,Dog,Neutered Male,,6.0,Rottweiler,Black,,05/28/2021,Stray,Animal Control,Return to Owner,Walk-In,05/31/2021,Friday,Monday
A050060,Bear,Dog,Neutered Male,,6.0,Rottweiler,Black,981020025485375,06/17/2021,Foster,Over the Counter,Adoption,Walk-In,06/17/2021,Thursday,Thursday
A050212,Solo,Dog,Neutered Male,2,6.0,Labrador Retriever,Yellow,985112009191649,06/09/2021,Stray,Animal Control,Return to Owner,Outside of Shelter,06/09/2021,Wednesday,Wednesday
A050212,Solo,Dog,Neutered Male,2,6.0,Labrador Retriever,Yellow,985112009191649,09/25/2022,Stray,Animal Control,Return to Owner,Outside of Shelter,09/25/2022,Sunday,Sunday
A050693,Ajax,Dog,Neutered Male,,3.0,Labrador Retriever,Chocolate,981020025746340,03/13/2021,Owner Surrendered,Over the Counter,Adoption,Website Information,03/17/2021,Saturday,Wednesday
A050798,King Of The World,Dog,Male,5,,Pomeranian,Brown,982000363736616,03/16/2023,Stray,Animal Control,Return to Owner,Outside of Shelter,03/16/2023,Thursday,Thursday
A051002,Gunner,Dog,Neutered Male,1,10.0,Pit Bull,Black,981020025640236,03/08/2023,Owner Surrendered,OTC APPT,Euthanized,Behavior Severe,04/15/2023,Wednesday,Saturday
A051258,Pickzy,Dog,Spayed Female,1,9.0,Beagle,Brown,982000411929867,02/19/2021,Stray,Animal Control,Return to Owner,,02/19/2021,Friday,Friday
A051564,Amos,Dog,Neutered Male,8,,Treeing Walker Coonhound,Tan,958113001573538,02/03/2022,Stray,Animal Control,Return to Owner,Walk-In,02/03/2022,Thursday,Thursday
A051835,Alice,Dog,Spayed Female,1,,Pit Bull,Tan,981020031189928,08/27/2021,Stray,Animal Control,Return to Owner,Outside of Shelter,08/27/2021,Friday,Friday
A052069,Callie,Dog,Female,2,,Chihuahua Long Hair,Tricolor,900164000983857,10/24/2021,Stray,Over the Counter,Return to Owner,Walk-In,10/24/2021,Sunday,Sunday
A052376,Flip,Cat,Neutered Male,1,,Domestic Shorthair,Black,981020031546671,11/20/2022,Owner Surrendered,OTC APPT,Euthanized,Behavior Severe,12/07/2022,Sunday,Wednesday
A052542,Lucy,Dog,Spayed Female,2,6.0,Boston Terrier,Blue Brindle,981020045553821,11/01/2021,Stray,Over the Counter,Adoption,Walk-In,11/11/2021,Monday,Thursday
A053304,Clyde,Dog,Neutered Male,5,,Pit Bull,Gray,981020023550248,04/02/2022,Stray,Animal Control,Return to Owner,Outside of Shelter,04/02/2022,Saturday,Saturday
A053304,Clyde,Dog,Neutered Male,5,,Pit Bull,Gray,981020023550248,05/13/2022,Stray,Animal Control,Return to Owner,Walk-In,05/14/2022,Friday,Saturday
A053304,Clyde,Dog,Neutered Male,5,,Pit Bull,Gray,981020023550248,05/29/2021,Stray,Animal Control,Return to Owner,Outside of Shelter,05/29/2021,Saturday,Saturday
A053304,Clyde,Dog,Neutered Male,5,,Pit Bull,Gray,981020023550248,04/19/2021,Stray,Over the Counter,Return to Owner,,04/20/2021,Monday,Tuesday
A053311,Lego,Cat,Spayed Female,,1.0,Domestic Shorthair,Gray,981020029820355,10/30/2022,Owner Surrendered,Over the Counter,Adoption,Walk-In,11/29/2022,Sunday,Tuesday
A053770,Zeke,Dog,Male,1,6.0,Smooth Collie,Black,,09/26/2021,Stray,Animal Control,Return to Owner,Walk-In,09/27/2021,Sunday,Monday
A053809,Garnet,Dog,Spayed Female,2,9.0,Boxer,Sable,985112007343915,02/05/2022,Owner Surrendered,Over the Counter,Adoption,Walk-In,03/13/2022,Saturday,Sunday
A053890,Levi,Dog,Neutered Male,,,Labrador Retriever,Black,981020031362090,06/15/2023,Owner Surrendered,Over the Counter,Euthanized,Behavior Severe,06/22/2023,Thursday,Thursday
A053957,Lavender,Dog,Spayed Female,6,,Pit Bull,Brown Brindle,981020017488026,10/05/2023,Owner Surrendered,Over the Counter,Euthanized,Behavior Severe,10/22/2023,Thursday,Sunday
A054126,Callie,Cat,Spayed Female,2,,Domestic Shorthair,Calico,981020031389908,10/10/2021,Owner Surrendered,Over the Counter,Adoption,Walk-In,12/04/2021,Sunday,Saturday
A054352,Dobby,Cat,Spayed Female,,1.85,Domestic Shorthair,Gray,981020031372171,10/26/2020,Confiscated,Animal Cruelty,Adoption,Walk-In,11/18/2020,Monday,Wednesday
A054449,Jackson,Dog,Neutered Male,4,,German Shepard,Red,981020031360073,11/05/2022,Transfer,Transfer,Adoption,Walk-In,11/12/2022,Saturday,Saturday
A054679,Leo,Cat,Neutered Male,,,Domestic Shorthair,Silver Tabby,981020033717910,06/14/2023,Owner Surrendered,OTC APPT,Adoption,Walk-In,06/20/2023,Wednesday,Tuesday
A054991,King,Dog,Neutered Male,1,,Pit Bull,Black,981020035170144,07/10/2022,Stray,Animal Control,Euthanized,Behavior Severe,11/03/2022,Sunday,Thursday
A055116,Carnela,Dog,Female,1,,Beagle,Tricolor,,07/20/2022,Stray,Animal Control,Return to Owner,Outside of Shelter,07/20/2022,Wednesday,Wednesday
A055145,Princess Stuffington,Dog,Spayed Female,,2.0,Mastiff,Black,981020033716429,07/27/2022,Stray,Animal Control,Return to Owner,,07/28/2022,Wednesday,Thursday
A055145,Princess Stuffington,Dog,Spayed Female,,2.0,Mastiff,Black,981020033716429,08/13/2022,Foster,Over the Counter,Adoption,Walk-In,08/16/2022,Saturday,Tuesday
A055145,Princess Stuffington,Dog,Spayed Female,,2.0,Mastiff,Black,981020033716429,08/17/2022,Owner Surrendered,Over the Counter,Adoption,Walk-In,08/20/2022,Wednesday,Saturday
A055145,Princess Stuffington,Dog,Spayed Female,,2.0,Mastiff,Black,981020033716429,07/28/2022,Owner Surrendered,Over the Counter,Foster,M/L DOG,08/12/2022,Thursday,Friday
A055222,Sophie,Dog,Spayed Female,5,,Beagle,Cream,981020013827854,08/19/2021,Owner Surrendered,Over the Counter,Adoption,Walk-In,08/20/2021,Thursday,Friday
A055291,Roxy,Dog,Spayed Female,5,,Pit Bull,Brown Brindle,981020033736316,04/04/2021,Stray,Animal Control,Return to Owner,Outside of Shelter,04/04/2021,Sunday,Sunday
A055291,Roxy,Dog,Spayed Female,5,,Pit Bull,Brown Brindle,981020033736316,07/02/2022,Stray,Animal Control,Euthanized,Behavior Severe,11/12/2022,Saturday,Saturday
A055479,Sun,Dog,Neutered Male,,9.0,Labrador Retriever,Tan,981020033705495,04/05/2021,Stray,Animal Control,Return to Owner,Walk-In,04/05/2021,Monday,Monday
A055898,Vincent,Cat,Neutered Male,3,,Domestic Shorthair,Brown Tabby,981020033832767,04/14/2022,Stray,Over the Counter,Return to Owner,Walk-In,04/15/2022,Thursday,Friday
A055898,Vincent,Cat,Neutered Male,3,,Domestic Shorthair,Brown Tabby,981020033832767,05/08/2022,Stray,Over the Counter,Transfer,Private Animal Shelter,05/19/2022,Sunday,Thursday
A056302,Wick,Dog,Neutered Male,5,,Staffordshire,Black,981020033765738,11/04/2021,Transfer,,Foster,M/L DOG,04/27/2022,Thursday,Wednesday
A056302,Wick,Dog,Neutered Male,5,,Staffordshire,Black,981020033765738,07/07/2022,Foster,Over the Counter,Euthanized,Illness Severe,07/09/2022,Thursday,Saturday
A056302,Wick,Dog,Neutered Male,5,,Staffordshire,Black,981020033765738,09/14/2020,Transfer,Transfer,Adoption,Walk-In,11/18/2020,Monday,Wednesday
A056328,Severus,Dog,Neutered Male,,10.0,Pit Bull,Tricolor,981020035188163,06/14/2021,Stray,Over the Counter,Return to Owner,,06/14/2021,Monday,Monday
A056328,Severus,Dog,Neutered Male,,10.0,Pit Bull,Tricolor,981020035188163,01/13/2022,Stray,Over the Counter,Return to Owner,Walk-In,01/13/2022,Thursday,Thursday
A056473,Roo,Dog,Female,4,,Pit Bull,Gray,,12/17/2022,Stray,Animal Control,Return to Owner,Outside of Shelter,12/17/2022,Saturday,Saturday
A056653,Helena,Dog,Spayed Female,3,,Anatolian Shepherd,Tricolor,981020027055013,11/22/2020,Owner Surrendered,OTC APPT,Adoption,Website Information,11/27/2020,Sunday,Friday
A056677,Frank,Cat,Neutered Male,4,,Domestic Shorthair,Black,981020013115124,06/05/2022,Owner Surrendered,OTC APPT,Adoption,Walk-In,07/20/2022,Sunday,Wednesday
A056875,Duke,Dog,Neutered Male,1,,Pit Bull,Gray,981020039195037,01/10/2021,Confiscated,Owner Arrested,Foster,Adoption,02/04/2021,Sunday,Thursday
A056875,Duke,Dog,Neutered Male,1,,Pit Bull,Gray,981020039195037,03/05/2021,Foster,,Adoption,,03/05/2021,Friday,Friday
A056997,Tank,Dog,Male,1,,Treeing Walker Coonhound,Tricolor,L20-000527,06/07/2021,Stray,Animal Control,Return to Owner,Outside of Shelter,06/07/2021,Monday,Monday
A056997,Tank,Dog,Male,1,,Treeing Walker Coonhound,Tricolor,981020045091524,08/30/2021,Stray,Animal Control,Return to Owner,Walk-In,09/04/2021,Monday,Saturday
A057110,Diamond,Dog,Female,2,,Pit Bull,Tan,985112010206259,04/18/2023,Transfer,Transfer,Return to Owner,Walk-In,04/19/2023,Tuesday,Wednesday
A057182,Champ,Dog,Neutered Male,7,,Boxer,Brown,981020013395473,02/17/2022,Stray,Animal Control,Return to Owner,Walk-In,02/17/2022,Thursday,Thursday
A057224,Doofy,Dog,Neutered Male,2,,Pit Bull,Gray,981020035558194,05/19/2021,Stray,Over the Counter,Adoption,Walk-In,06/15/2021,Wednesday,Tuesday
A057256,Ruby,Dog,Spayed Female,12,,Shiba Inu,White,60462,04/10/2021,Confiscated,Owner Hospitalized,Return to Owner,,04/15/2021,Saturday,Thursday
A057256,Ruby,Dog,Spayed Female,12,,Shiba Inu,White,497C1B2C17,12/09/2020,Confiscated,Owner Hospitalized,Return to Owner,Walk-In,12/15/2020,Wednesday,Tuesday
A057309,Roscoe,Dog,Neutered Male,7,6.0,American Bulldog,White,L21-008442,03/30/2021,Transfer,Transfer,Adoption,Walk-In,03/31/2021,Tuesday,Wednesday
A057474,Rocky,Dog,Male,10,,Miniature Pinscher,Black,981020055107806,06/27/2023,Stray,Animal Control,Return to Owner,Walk-In,06/27/2023,Tuesday,Tuesday
A057508,Aria,Cat,Spayed Female,,2.0,Domestic Shorthair,Gray,981020037671030,11/22/2020,Owner Surrendered,OTC APPT,Adoption,Walk-In,11/25/2020,Sunday,Wednesday
A057524,Noel,Dog,Spayed Female,8,,Pit Bull,Blue Brindle,981020035554802,12/02/2020,Foster,Over the Counter,Foster,Adoption,12/02/2020,Wednesday,Wednesday
A057524,Noel,Dog,Spayed Female,8,,Pit Bull,Blue Brindle,981020035554802,12/19/2020,Foster,Over the Counter,Foster,Adoption,12/19/2020,Saturday,Saturday
A057524,Noel,Dog,Spayed Female,8,,Pit Bull,Blue Brindle,981020035554802,01/16/2022,Foster,Over the Counter,Adoption,Walk-In,01/16/2022,Sunday,Sunday
A057797,Spike,Dog,Male,8,,Yorkshire Terrier,Silver,981020027845428,11/11/2021,Stray,Animal Control,Return to Owner,Outside of Shelter,11/11/2021,Thursday,Thursday
A057797,Spike,Dog,Male,8,,Yorkshire Terrier,Silver,981020027845428,11/13/2022,Stray,Over the Counter,Return to Owner,Walk-In,11/15/2022,Sunday,Tuesday
A057797,Spike,Dog,Male,8,,Yorkshire Terrier,Silver,981020027845428,09/30/2022,Stray,Animal Control,Return to Owner,Outside of Shelter,09/30/2022,Friday,Friday
A057797,Spike,Dog,Male,8,,Yorkshire Terrier,Silver,981020027845428,04/22/2021,Stray,Over the Counter,Return to Owner,,04/22/2021,Thursday,Thursday
A057797,Spike,Dog,Male,8,,Yorkshire Terrier,Silver,981020027845428,07/07/2023,Stray,Animal Control,Return to Owner,Outside of Shelter,07/07/2023,Friday,Friday
A057797,Spike,Dog,Male,8,,Yorkshire Terrier,Silver,981020027845428,07/10/2021,Stray,Over the Counter,Return to Owner,,07/10/2021,Saturday,Saturday
A057894,Cam,Dog,Male,1,,Pit Bull,Gray,981020035586100,03/13/2021,Stray,Over the Counter,Return to Owner,,03/13/2021,Saturday,Saturday
A057900,Celest,Cat,Spayed Female,,3.0,Domestic Shorthair,Black,981020037680558,11/24/2020,Foster,Over the Counter,Adoption,Walk-In,11/24/2020,Tuesday,Tuesday
A057916,Bear,Dog,Male,,8.0,Great Pyrenees,White,981020035562339,01/23/2021,Confiscated,Animal Cruelty,Return to Owner,Walk-In,01/26/2021,Saturday,Tuesday
A058071,Cleo,Cat,Spayed Female,,0.35,Domestic Shorthair,Brown Tabby,981020037670668,05/30/2021,Stray,Over the Counter,Foster,FINDER,05/30/2021,Sunday,Sunday
A058071,Cleo,Cat,Spayed Female,,0.35,Domestic Shorthair,Brown Tabby,981020037670668,05/30/2021,Foster,Over the Counter,Return to Owner,Microchip,05/30/2021,Sunday,Sunday
A058166,Blue,Dog,Neutered Male,,6.0,Pit Bull,Blue,L20-009146,12/20/2020,Confiscated,Animal Cruelty,Foster,M/L DOG,01/07/2021,Sunday,Thursday
A058166,Blue,Dog,Neutered Male,,6.0,Pit Bull,Blue,L20-009146,01/18/2021,Foster,Over the Counter,Foster,M/L DOG,01/19/2021,Monday,Tuesday
A058166,Blue,Dog,Neutered Male,,6.0,Pit Bull,Blue,981020037703748,03/04/2021,Foster,Over the Counter,Adoption,,03/04/2021,Thursday,Thursday
A058166,Blue,Dog,Neutered Male,,6.0,Pit Bull,Blue,981020037703748,02/12/2021,Foster,Over the Counter,Foster,Adoption,02/13/2021,Friday,Saturday
A058167,Munch,Cat,Neutered Male,,1.35,Domestic Shorthair,Brown Tabby,981020037679206,01/30/2021,Foster,Over the Counter,Adoption,Referral,01/30/2021,Saturday,Saturday
A058212,Ember,Cat,Neutered Male,,0.8,Domestic Shorthair,Black,981020035561457,02/15/2021,Foster,Over the Counter,Adoption,Referral,02/15/2021,Monday,Monday
A058218,Justin,Cat,Neutered Male,,3.8,Domestic Shorthair,Brown Tabby,981020037700720,11/21/2020,Return,Over the Counter,Adoption,Walk-In,12/06/2020,Saturday,Sunday
